 2018,Kết Quả Kinh Doanh,Q1 2018,Q2 2018,Q3 2018,Q4 2018
 2018,Kết Quả Kinh Doanh,Q1 2018,Q2 2018,Q3 2018,Q4 2018
,,,,,
"23,213,537",Doanh Thu Thuần,"4,750,769","5,474,263","6,036,059","6,952,447"
"14,490,658",Giá Vốn Hàng Bán,"2,895,208","3,473,590","3,740,389","4,381,236"
,,,,,
"8,722,879",Lợi Nhuận Gộp,"1,855,560","2,000,673","2,295,670","2,571,211"
,,,,,
Chi phí hoạt động,,,,,
Chi phí tài chính,,"142,295","66,603","89,173","361,047"
,,"46,409","62,036","74,811","238,344"
Chi phí bán hàng,,"422,707","507,535","665,496","2,047,834"
Chi phí quản lý doanh nghiệp,,"770,426","900,927","1,057,696","3,553,288"
,,,,,
Tổng Chi phí hoạt động,,"1,335,428","1,475,065","1,812,365","5,962,169"
,,,,,
Tổng doanh thu hoạt động tài chính,,"153,493","124,076","216,866","600,093"
,,,,,
"3,799,831",Lợi nhuận thuần từ hoạt động kinh doanh,"771,386","879,552","1,057,301","1,086,435"
,,,,,
Lợi nhuận khác,,"9,392","-6,624","28,098","57,771"
Tổng lợi nhuận kế toán trước thuế,,"780,778","1,050,677","1,114,533","3,857,603"
Chi phí lợi nhuận,,,,,
Chi phí thuế TNDN hiện hành,,"106,063","160,199","186,087","599,215"
Chi phí thuế TNDN hoãn lại,,"21,947",215,"2,014","24,391"
Lợi ích của cổ đông thiểu số,,"143,755","165,346","139,971","613,819"
,,,,,
Tổng Chi phí lợi nhuận,,"271,765","325,760","328,072","1,237,425"
,,,,,
,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,
,,,,,
Khối Lượng,,"530,961,105","613,636,772","613,636,772","613,636,772"
,,,,,
Giá Cuối Kỳ,,36.7,33.8,30.8,30.8
,,,,,
,,,,,
,,,,,
PE,,5.4,5.6,6.2,5.9
,,,,,
Giá Sổ Sách,,17.7,18.1,18.9,18.9
